function	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
RXN1G-182	11771.81	15907.17	18242.43	13100.86	14496.7	13461.45	11033.28	7083.5	9179.04	6033.59	18122.24	7250.41	3828.44	2968.69	6304.640000000001	5438.31	910.19	3439.76	1668.41	4802.4400000000005	2949.07	2849.25	21273.41	15548.58	22316.24	1869.3700000000003	1003.11	1689.07	1525.68	1863.22	1100.5700000000002	4113.18	4086.0	6901.53
RXN1G-184	11771.81	15907.17	18242.43	13100.86	14496.7	13461.45	11033.28	7083.5	9179.04	6033.59	18122.24	7250.41	3828.44	2968.69	6304.640000000001	5438.31	910.19	3439.76	1668.41	4802.4400000000005	2949.07	2849.25	21273.41	15548.58	22316.24	1869.3700000000003	1003.11	1689.07	1525.68	1863.22	1100.5700000000002	4113.18	4086.0	6901.53
RXN1G-186	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	800.2	898.63	114.83	141.60000000000002	203.0	134.0	237.86	211.25	0.0	312.57	202.53	64.0	57.0	0.0	780.19	572.0	976.33	178.0	64.0	45.0	86.0	31.0	104.0	108.0	224.0	38.0
RXN1G-188	5010.55	8684.25	8879.06	6238.69	7210.11	6145.41	5251.4	4835.08	1902.77	2066.54	4520.05	3035.42	2909.33	854.5500000000001	1628.85	2855.7000000000003	647.6000000000001	657.13	501.78	1245.37	1017.71	1477.25	5998.88	6503.9	6271.91	1469.37	868.26	1775.48	1235.41	1802.34	971.04	3226.3099999999995	3488.48	6140.92
RXN1G-193	6276.0	10243.25	10279.63	7259.05	7833.139999999999	7761.96	6240.1	6423.4	1953.77	2018.54	3178.69	2838.79	2792.5	878.79	1400.99	2687.53	867.77	654.46	484.78	1005.54	934.05	1747.5	5491.79	5812.56	6531.04	1295.1999999999998	744.59	1609.15	1124.24	1651.01	837.3700000000001	2981.49	2992.15	4777.75
RXN1G-196	6276.0	10243.25	10279.63	7259.05	7833.139999999999	7761.96	6240.1	6423.4	1953.77	2018.54	3178.69	2838.79	2792.5	878.79	1400.99	2687.53	867.77	654.46	484.78	1005.54	934.05	1747.5	5491.79	5812.56	6531.04	1295.1999999999998	744.59	1609.15	1124.24	1651.01	837.3700000000001	2981.49	2992.15	4777.75
RXN1G-2	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	798.45	871.38	114.83	124.6	203.0	138.0	237.86	209.25	0.0	310.57	204.03	64.5	57.0	0.0	763.19	572.0	984.33	178.0	64.0	45.0	86.0	31.0	104.0	108.0	224.0	38.0
RXN1G-202	4733.84	6396.25	6972.4	5398.44	5635.11	5996.55	4703.6900000000005	4199.71	1868.94	2050.48	7322.419999999999	3021.4700000000003	2560.27	902.31	2126.75	2633.76	564.08	719.46	472.58	1840.87	1222.74	1126.25	6972.710000000001	5340.62	6868.21	1514.1999999999998	728.52	1417.8200000000002	1123.67	1573.48	825.9000000000001	3375.67	3035.42	4908.78
RXN1G-203	11771.81	15907.17	18242.43	13100.86	14496.7	13461.45	11033.28	7083.5	9179.04	6033.59	18122.24	7250.41	3828.44	2968.69	6304.640000000001	5438.31	910.19	3439.76	1668.41	4802.4400000000005	2949.07	2849.25	21273.41	15548.58	22316.24	1869.3700000000003	1003.11	1689.07	1525.68	1863.22	1100.5700000000002	4113.18	4086.0	6901.53
RXN1G-210	6276.0	10243.25	10279.63	7259.05	7833.139999999999	7761.96	6240.1	6423.4	1953.77	2018.54	3178.69	2838.79	2792.5	878.79	1400.99	2687.53	867.77	654.46	484.78	1005.54	934.05	1747.5	5491.79	5812.56	6531.04	1295.1999999999998	744.59	1609.15	1124.24	1651.01	837.3700000000001	2981.49	2992.15	4777.75
RXN1G-214	5010.55	8684.25	8879.06	6238.69	7210.11	6145.41	5251.4	4835.08	1902.77	2066.54	4520.05	3035.42	2909.33	854.5500000000001	1628.85	2855.7000000000003	647.6000000000001	657.13	501.78	1245.37	1017.71	1477.25	5998.88	6503.9	6271.91	1469.37	868.26	1775.48	1235.41	1802.34	971.04	3226.3099999999995	3488.48	6140.92
RXN1G-218	696.42	4569.0	4220.83	2453.0	3497.0	955.72	1240.42	987.25	1938.46	833.6600000000001	3625.44	1727.0700000000002	943.03	291.57	898.35	1409.84	141.55	702.4	190.39	911.44	644.07	714.0	2672.73	2775.8500000000004	1752.24	101.03	325.87	167.32999999999998	338.37	323.93	294.07	1829.07	1251.5300000000002	2325.57
RXN1G-220	5010.55	8684.25	8879.06	6238.69	7210.11	6145.41	5251.4	4835.08	1902.77	2066.54	4520.05	3035.42	2909.33	854.5500000000001	1628.85	2855.7000000000003	647.6000000000001	657.13	501.78	1245.37	1017.71	1477.25	5998.88	6503.9	6271.91	1469.37	868.26	1775.48	1235.41	1802.34	971.04	3226.3099999999995	3488.48	6140.92
RXN1G-236	696.42	4569.0	4220.83	2453.0	3497.0	955.72	1240.42	987.25	1938.46	833.6600000000001	3625.44	1727.0700000000002	943.03	291.57	898.35	1409.84	141.55	702.4	190.39	911.44	644.07	714.0	2672.73	2775.8500000000004	1752.24	101.03	325.87	167.32999999999998	338.37	323.93	294.07	1829.07	1251.5300000000002	2325.57
RXN1G-240	11771.81	15907.17	18242.43	13100.86	14496.7	13461.45	11033.28	7083.5	9179.04	6033.59	18122.24	7250.41	3828.44	2968.69	6304.640000000001	5438.31	910.19	3439.76	1668.41	4802.4400000000005	2949.07	2849.25	21273.41	15548.58	22316.24	1869.3700000000003	1003.11	1689.07	1525.68	1863.22	1100.5700000000002	4113.18	4086.0	6901.53
RXN1G-248	6276.0	10243.25	10279.63	7259.05	7833.139999999999	7761.96	6240.1	6423.4	1953.77	2018.54	3178.69	2838.79	2792.5	878.79	1400.99	2687.53	867.77	654.46	484.78	1005.54	934.05	1747.5	5491.79	5812.56	6531.04	1295.1999999999998	744.59	1609.15	1124.24	1651.01	837.3700000000001	2981.49	2992.15	4777.75
RXN1G-252	11771.81	15907.17	18242.43	13100.86	14496.7	13461.45	11033.28	7083.5	9179.04	6033.59	18122.24	7250.41	3828.44	2968.69	6304.640000000001	5438.31	910.19	3439.76	1668.41	4802.4400000000005	2949.07	2849.25	21273.41	15548.58	22316.24	1869.3700000000003	1003.11	1689.07	1525.68	1863.22	1100.5700000000002	4113.18	4086.0	6901.53
RXN1G-2544	322.33	417.5	218.5	80.33	144.82999999999998	506.5	535.0	497.0	3003.03	1879.14	3583.94	1462.4799999999998	754.0	411.97	1119.41	642.84	57.0	1071.57	383.43	962.0	590.8299999999999	76.0	3618.56	2711.34	3808.12	203.0	128.0	312.0	198.0	180.0	139.0	386.0	412.0	591.0
RXN1G-26	696.42	4569.0	4220.83	2453.0	3497.0	955.72	1240.42	987.25	1938.46	833.6600000000001	3625.44	1727.0700000000002	943.03	291.57	898.35	1409.84	141.55	702.4	190.39	911.44	644.07	714.0	2672.73	2775.8500000000004	1752.24	101.03	325.87	167.32999999999998	338.37	323.93	294.07	1829.07	1251.5300000000002	2325.57
RXN1G-260	11771.81	15907.17	18242.43	13100.86	14496.7	13461.45	11033.28	7083.5	9179.04	6033.59	18122.24	7250.41	3828.44	2968.69	6304.640000000001	5438.31	910.19	3439.76	1668.41	4802.4400000000005	2949.07	2849.25	21273.41	15548.58	22316.24	1869.3700000000003	1003.11	1689.07	1525.68	1863.22	1100.5700000000002	4113.18	4086.0	6901.53
RXN1G-262	11771.81	15907.17	18242.43	13100.86	14496.7	13461.45	11033.28	7083.5	9179.04	6033.59	18122.24	7250.41	3828.44	2968.69	6304.640000000001	5438.31	910.19	3439.76	1668.41	4802.4400000000005	2949.07	2849.25	21273.41	15548.58	22316.24	1869.3700000000003	1003.11	1689.07	1525.68	1863.22	1100.5700000000002	4113.18	4086.0	6901.53
RXN1G-266	5010.55	8684.25	8879.06	6238.69	7210.11	6145.41	5251.4	4835.08	1902.77	2066.54	4520.05	3035.42	2909.33	854.5500000000001	1628.85	2855.7000000000003	647.6000000000001	657.13	501.78	1245.37	1017.71	1477.25	5998.88	6503.9	6271.91	1469.37	868.26	1775.48	1235.41	1802.34	971.04	3226.3099999999995	3488.48	6140.92
RXN1G-27	5010.55	8684.25	8879.06	6238.69	7210.11	6145.41	5251.4	4835.08	1902.77	2066.54	4520.05	3035.42	2909.33	854.5500000000001	1628.85	2855.7000000000003	647.6000000000001	657.13	501.78	1245.37	1017.71	1477.25	5998.88	6503.9	6271.91	1469.37	868.26	1775.48	1235.41	1802.34	971.04	3226.3099999999995	3488.48	6140.92
RXN1G-276	6276.0	10243.25	10279.63	7259.05	7833.139999999999	7761.96	6240.1	6423.4	1953.77	2018.54	3178.69	2838.79	2792.5	878.79	1400.99	2687.53	867.77	654.46	484.78	1005.54	934.05	1747.5	5491.79	5812.56	6531.04	1295.1999999999998	744.59	1609.15	1124.24	1651.01	837.3700000000001	2981.49	2992.15	4777.75
RXN1G-279	5010.55	8684.25	8879.06	6238.69	7210.11	6145.41	5251.4	4835.08	1902.77	2066.54	4520.05	3035.42	2909.33	854.5500000000001	1628.85	2855.7000000000003	647.6000000000001	657.13	501.78	1245.37	1017.71	1477.25	5998.88	6503.9	6271.91	1469.37	868.26	1775.48	1235.41	1802.34	971.04	3226.3099999999995	3488.48	6140.92
RXN1G-285	6276.0	10243.25	10279.63	7259.05	7833.139999999999	7761.96	6240.1	6423.4	1953.77	2018.54	3178.69	2838.79	2792.5	878.79	1400.99	2687.53	867.77	654.46	484.78	1005.54	934.05	1747.5	5491.79	5812.56	6531.04	1295.1999999999998	744.59	1609.15	1124.24	1651.01	837.3700000000001	2981.49	2992.15	4777.75
RXN1G-287	11771.81	15907.17	18242.43	13100.86	14496.7	13461.45	11033.28	7083.5	9179.04	6033.59	18122.24	7250.41	3828.44	2968.69	6304.640000000001	5438.31	910.19	3439.76	1668.41	4802.4400000000005	2949.07	2849.25	21273.41	15548.58	22316.24	1869.3700000000003	1003.11	1689.07	1525.68	1863.22	1100.5700000000002	4113.18	4086.0	6901.53
RXN1G-294	5010.55	8684.25	8879.06	6238.69	7210.11	6145.41	5251.4	4835.08	1902.77	2066.54	4520.05	3035.42	2909.33	854.5500000000001	1628.85	2855.7000000000003	647.6000000000001	657.13	501.78	1245.37	1017.71	1477.25	5998.88	6503.9	6271.91	1469.37	868.26	1775.48	1235.41	1802.34	971.04	3226.3099999999995	3488.48	6140.92
RXN1G-299	6276.0	10243.25	10279.63	7259.05	7833.139999999999	7761.96	6240.1	6423.4	1953.77	2018.54	3178.69	2838.79	2792.5	878.79	1400.99	2687.53	867.77	654.46	484.78	1005.54	934.05	1747.5	5491.79	5812.56	6531.04	1295.1999999999998	744.59	1609.15	1124.24	1651.01	837.3700000000001	2981.49	2992.15	4777.75
RXN1G-30	38.0	60.0	16.23	0.4	5.0	1.0	188.0	251.83	338.97	635.37	1696.0400000000002	700.1700000000001	680.1500000000001	176.84000000000003	556.8000000000001	530.4100000000001	42.63	87.33	136.07	442.83	236.17	7.0	1644.04	1893.23	1049.3	359.07000000000005	296.99	391.65	348.14	314.21	245.67	598.9399999999999	773.85	988.42
RXN1G-306	696.42	4569.0	4220.83	2453.0	3497.0	955.72	1240.42	987.25	1938.46	833.6600000000001	3625.44	1727.0700000000002	943.03	291.57	898.35	1409.84	141.55	702.4	190.39	911.44	644.07	714.0	2672.73	2775.8500000000004	1752.24	101.03	325.87	167.32999999999998	338.37	323.93	294.07	1829.07	1251.5300000000002	2325.57
RXN1G-308	5010.55	8684.25	8879.06	6238.69	7210.11	6145.41	5251.4	4835.08	1902.77	2066.54	4520.05	3035.42	2909.33	854.5500000000001	1628.85	2855.7000000000003	647.6000000000001	657.13	501.78	1245.37	1017.71	1477.25	5998.88	6503.9	6271.91	1469.37	868.26	1775.48	1235.41	1802.34	971.04	3226.3099999999995	3488.48	6140.92
RXN1G-309	5010.55	8684.25	8879.06	6238.69	7210.11	6145.41	5251.4	4835.08	1902.77	2066.54	4520.05	3035.42	2909.33	854.5500000000001	1628.85	2855.7000000000003	647.6000000000001	657.13	501.78	1245.37	1017.71	1477.25	5998.88	6503.9	6271.91	1469.37	868.26	1775.48	1235.41	1802.34	971.04	3226.3099999999995	3488.48	6140.92
RXN1G-32	4733.84	6396.25	6972.4	5398.44	5635.11	5996.55	4703.6900000000005	4199.71	1868.94	2050.48	7322.419999999999	3021.4700000000003	2560.27	902.31	2126.75	2633.76	564.08	719.46	472.58	1840.87	1222.74	1126.25	6972.710000000001	5340.62	6868.21	1514.1999999999998	728.52	1417.8200000000002	1123.67	1573.48	825.9000000000001	3375.67	3035.42	4908.78
RXN1G-320	5010.55	8684.25	8879.06	6238.69	7210.11	6145.41	5251.4	4835.08	1902.77	2066.54	4520.05	3035.42	2909.33	854.5500000000001	1628.85	2855.7000000000003	647.6000000000001	657.13	501.78	1245.37	1017.71	1477.25	5998.88	6503.9	6271.91	1469.37	868.26	1775.48	1235.41	1802.34	971.04	3226.3099999999995	3488.48	6140.92
RXN1G-324	696.42	4569.0	4220.83	2453.0	3497.0	955.72	1240.42	987.25	1938.46	833.6600000000001	3625.44	1727.0700000000002	943.03	291.57	898.35	1409.84	141.55	702.4	190.39	911.44	644.07	714.0	2672.73	2775.8500000000004	1752.24	101.03	325.87	167.32999999999998	338.37	323.93	294.07	1829.07	1251.5300000000002	2325.57
RXN1G-334	4733.84	6396.25	6972.4	5398.44	5635.11	5996.55	4703.6900000000005	4199.71	1868.94	2050.48	7322.419999999999	3021.4700000000003	2560.27	902.31	2126.75	2633.76	564.08	719.46	472.58	1840.87	1222.74	1126.25	6972.710000000001	5340.62	6868.21	1514.1999999999998	728.52	1417.8200000000002	1123.67	1573.48	825.9000000000001	3375.67	3035.42	4908.78
RXN1G-337	6276.0	10243.25	10279.63	7259.05	7833.139999999999	7761.96	6240.1	6423.4	1953.77	2018.54	3178.69	2838.79	2792.5	878.79	1400.99	2687.53	867.77	654.46	484.78	1005.54	934.05	1747.5	5491.79	5812.56	6531.04	1295.1999999999998	744.59	1609.15	1124.24	1651.01	837.3700000000001	2981.49	2992.15	4777.75
RXN1G-339	6276.0	10243.25	10279.63	7259.05	7833.139999999999	7761.96	6240.1	6423.4	1953.77	2018.54	3178.69	2838.79	2792.5	878.79	1400.99	2687.53	867.77	654.46	484.78	1005.54	934.05	1747.5	5491.79	5812.56	6531.04	1295.1999999999998	744.59	1609.15	1124.24	1651.01	837.3700000000001	2981.49	2992.15	4777.75
RXN1G-349	11771.81	15907.17	18242.43	13100.86	14496.7	13461.45	11033.28	7083.5	9179.04	6033.59	18122.24	7250.41	3828.44	2968.69	6304.640000000001	5438.31	910.19	3439.76	1668.41	4802.4400000000005	2949.07	2849.25	21273.41	15548.58	22316.24	1869.3700000000003	1003.11	1689.07	1525.68	1863.22	1100.5700000000002	4113.18	4086.0	6901.53
RXN1G-355	5010.55	8684.25	8879.06	6238.69	7210.11	6145.41	5251.4	4835.08	1902.77	2066.54	4520.05	3035.42	2909.33	854.5500000000001	1628.85	2855.7000000000003	647.6000000000001	657.13	501.78	1245.37	1017.71	1477.25	5998.88	6503.9	6271.91	1469.37	868.26	1775.48	1235.41	1802.34	971.04	3226.3099999999995	3488.48	6140.92
RXN1G-358	11771.81	15907.17	18242.43	13100.86	14496.7	13461.45	11033.28	7083.5	9179.04	6033.59	18122.24	7250.41	3828.44	2968.69	6304.640000000001	5438.31	910.19	3439.76	1668.41	4802.4400000000005	2949.07	2849.25	21273.41	15548.58	22316.24	1869.3700000000003	1003.11	1689.07	1525.68	1863.22	1100.5700000000002	4113.18	4086.0	6901.53
RXN1G-363	5010.55	8684.25	8879.06	6238.69	7210.11	6145.41	5251.4	4835.08	1902.77	2066.54	4520.05	3035.42	2909.33	854.5500000000001	1628.85	2855.7000000000003	647.6000000000001	657.13	501.78	1245.37	1017.71	1477.25	5998.88	6503.9	6271.91	1469.37	868.26	1775.48	1235.41	1802.34	971.04	3226.3099999999995	3488.48	6140.92
RXN1G-364	11771.81	15907.17	18242.43	13100.86	14496.7	13461.45	11033.28	7083.5	9179.04	6033.59	18122.24	7250.41	3828.44	2968.69	6304.640000000001	5438.31	910.19	3439.76	1668.41	4802.4400000000005	2949.07	2849.25	21273.41	15548.58	22316.24	1869.3700000000003	1003.11	1689.07	1525.68	1863.22	1100.5700000000002	4113.18	4086.0	6901.53
RXN1G-3641	322.33	417.5	218.5	80.33	144.82999999999998	506.5	535.0	497.0	3003.03	1879.14	3583.94	1462.4799999999998	754.0	411.97	1119.41	642.84	57.0	1071.57	383.43	962.0	590.8299999999999	76.0	3618.56	2711.34	3808.12	203.0	128.0	312.0	198.0	180.0	139.0	386.0	412.0	591.0
RXN1G-368	696.42	4569.0	4220.83	2453.0	3497.0	955.72	1240.42	987.25	1938.46	833.6600000000001	3625.44	1727.0700000000002	943.03	291.57	898.35	1409.84	141.55	702.4	190.39	911.44	644.07	714.0	2672.73	2775.8500000000004	1752.24	101.03	325.87	167.32999999999998	338.37	323.93	294.07	1829.07	1251.5300000000002	2325.57
RXN1G-37	6276.0	10243.25	10279.63	7259.05	7833.139999999999	7761.96	6240.1	6423.4	1953.77	2018.54	3178.69	2838.79	2792.5	878.79	1400.99	2687.53	867.77	654.46	484.78	1005.54	934.05	1747.5	5491.79	5812.56	6531.04	1295.1999999999998	744.59	1609.15	1124.24	1651.01	837.3700000000001	2981.49	2992.15	4777.75
RXN1G-374	4733.84	6396.25	6972.4	5398.44	5635.11	5996.55	4703.6900000000005	4199.71	1868.94	2050.48	7322.419999999999	3021.4700000000003	2560.27	902.31	2126.75	2633.76	564.08	719.46	472.58	1840.87	1222.74	1126.25	6972.710000000001	5340.62	6868.21	1514.1999999999998	728.52	1417.8200000000002	1123.67	1573.48	825.9000000000001	3375.67	3035.42	4908.78
RXN1G-377	5010.55	8684.25	8879.06	6238.69	7210.11	6145.41	5251.4	4835.08	1902.77	2066.54	4520.05	3035.42	2909.33	854.5500000000001	1628.85	2855.7000000000003	647.6000000000001	657.13	501.78	1245.37	1017.71	1477.25	5998.88	6503.9	6271.91	1469.37	868.26	1775.48	1235.41	1802.34	971.04	3226.3099999999995	3488.48	6140.92
RXN1G-384	11771.81	15907.17	18242.43	13100.86	14496.7	13461.45	11033.28	7083.5	9179.04	6033.59	18122.24	7250.41	3828.44	2968.69	6304.640000000001	5438.31	910.19	3439.76	1668.41	4802.4400000000005	2949.07	2849.25	21273.41	15548.58	22316.24	1869.3700000000003	1003.11	1689.07	1525.68	1863.22	1100.5700000000002	4113.18	4086.0	6901.53
RXN1G-395	6276.0	10243.25	10279.63	7259.05	7833.139999999999	7761.96	6240.1	6423.4	1953.77	2018.54	3178.69	2838.79	2792.5	878.79	1400.99	2687.53	867.77	654.46	484.78	1005.54	934.05	1747.5	5491.79	5812.56	6531.04	1295.1999999999998	744.59	1609.15	1124.24	1651.01	837.3700000000001	2981.49	2992.15	4777.75
RXN1G-396	6276.0	10243.25	10279.63	7259.05	7833.139999999999	7761.96	6240.1	6423.4	1953.77	2018.54	3178.69	2838.79	2792.5	878.79	1400.99	2687.53	867.77	654.46	484.78	1005.54	934.05	1747.5	5491.79	5812.56	6531.04	1295.1999999999998	744.59	1609.15	1124.24	1651.01	837.3700000000001	2981.49	2992.15	4777.75
RXN1G-4	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	800.2	898.63	114.83	145.60000000000002	203.0	134.0	237.86	209.25	0.0	312.57	202.53	64.0	57.0	0.0	776.19	572.0	980.33	178.0	64.0	45.0	86.0	31.0	104.0	108.0	224.0	38.0
RXN1G-408	11771.81	15907.17	18242.43	13100.86	14496.7	13461.45	11033.28	7083.5	9179.04	6033.59	18122.24	7250.41	3828.44	2968.69	6304.640000000001	5438.31	910.19	3439.76	1668.41	4802.4400000000005	2949.07	2849.25	21273.41	15548.58	22316.24	1869.3700000000003	1003.11	1689.07	1525.68	1863.22	1100.5700000000002	4113.18	4086.0	6901.53
RXN1G-409	11771.81	15907.17	18242.43	13100.86	14496.7	13461.45	11033.28	7083.5	9179.04	6033.59	18122.24	7250.41	3828.44	2968.69	6304.640000000001	5438.31	910.19	3439.76	1668.41	4802.4400000000005	2949.07	2849.25	21273.41	15548.58	22316.24	1869.3700000000003	1003.11	1689.07	1525.68	1863.22	1100.5700000000002	4113.18	4086.0	6901.53
RXN1G-420	5010.55	8684.25	8879.06	6238.69	7210.11	6145.41	5251.4	4835.08	1902.77	2066.54	4520.05	3035.42	2909.33	854.5500000000001	1628.85	2855.7000000000003	647.6000000000001	657.13	501.78	1245.37	1017.71	1477.25	5998.88	6503.9	6271.91	1469.37	868.26	1775.48	1235.41	1802.34	971.04	3226.3099999999995	3488.48	6140.92
RXN1G-424	4733.84	6396.25	6972.4	5398.44	5635.11	5996.55	4703.6900000000005	4199.71	1868.94	2050.48	7322.419999999999	3021.4700000000003	2560.27	902.31	2126.75	2633.76	564.08	719.46	472.58	1840.87	1222.74	1126.25	6972.710000000001	5340.62	6868.21	1514.1999999999998	728.52	1417.8200000000002	1123.67	1573.48	825.9000000000001	3375.67	3035.42	4908.78
