"","Group1","Group2","p_value","p_adjust"
"1","right palm","gut",3.93180907134705e-16,5.89771360702058e-16
"2","right palm","tongue",3.43313077169647e-32,1.02993923150894e-31
"3","right palm","left palm",0.0703714599565115,0.0703714599565115
"4","gut","tongue",0.000508725926095107,0.000610471111314128
"5","gut","left palm",9.24872092101194e-22,1.84974418420239e-21
"6","tongue","left palm",1.58981960829779e-39,9.53891764978677e-39
"Kruskal-wallus",NA,NA,1.40593788387415e-51,NA
