"","ko05340","ko00564","ko00680","ko00562","ko03030","ko00561","ko00440","ko00250","ko00740","ko04111","ko04940","ko00010","ko05412","ko00195","ko03450","ko00760","ko00920","ko00311","ko00310","ko04146","ko00600","ko04141","ko04142","ko00604","ko04260","ko03040","ko04110","ko05142","ko00909","ko00513"
"L4S137",7274.11,69820.39,114754.83,17418.62,93588.03,43542.23,7116.42,107058.87,27535.84,15,6757.39,137732.93,0,47221.93,757.5,51405.79,44527.83,2998.13,33373.1,32499.91,8615.34,5491.02,7568.56,3348.08,3182.21,67,15,1700,0,0
"L4S63",10277.12,90334.52,163161.3,27856.21,115454.6,62619.39,9170.26,143987.74,35685,3,8959.15,195732.81,0,71992.14,3124.2,72587.44,60014.18,2264.43,46205.65,38322.63,6209.14,5887.16,5373.19,2799.43,3271.25,39,11,2283.17,0,21
"L5S104",1615.67,14102.95,22789.89,3356.35,20301.32,7355.19,1412.86,22907.81,6685.77,0,1562.87,27703.61,0,21429.8,0,12306.54,8755.69,313.4,2017.07,5117.33,2841.05,1188.72,1520.66,1076.51,40.8,80,0,211,0,0
"L5S155",781.84,8229.55,12185.08,1774.8,10978.13,3856.53,946.84,11680.52,3619.01,0,788.59,14377.89,9,5756.72,9,5825.53,4795.49,242.24,1191.88,2577.39,1612.51,367,913.59,561.25,337.8,174.6,0,64,0,0
"L5S174",1331.8,14468.91,22719,2871.78,21539.41,7217.89,1618.8,25435.16,8581.63,7,1548.15,25508.05,0,11939.7,0,14066.81,8621.91,169.24,2190,5125.19,6505.67,1739.5,3259.59,2396.25,114,272,7,82,0,0
"L5S203",1164.81,12246.71,18897.86,2252.27,16728.94,5719.11,1190.14,17580.73,5562.5,4,1183.91,20824.16,0,8816.42,22,8705.7,7487.58,297.14,2130.55,3651.76,2275.01,682.5,1166.84,758.5,415.8,187.6,4,110,0,0
"L5S222",1650.69,18428.34,27590.84,2917.13,24497.21,7738.24,1393.36,25399.17,8856.85,0,1632.34,28704.59,0,13070.08,8,13981.65,10918.97,289.96,3066.25,4929.54,4539.49,1492,2260.41,1654.75,341.4,209.8,0,44,0,0
"L5S240",870.57,9795.57,14428.94,1882.46,13046.26,4225.22,939.57,13125.58,4485.69,0,951.37,16426.97,0,6648.46,0,6674.36,5675.09,155,1679.74,2908.85,1612.17,434.5,828,577,288.6,125.2,0,104,0,0
"L6S20",3595.06,34754.46,52395.71,6434.77,44279.24,15073.01,3191.69,48208.08,15297.55,3,2976.66,54192.91,0,22792.62,8.8,23996.7,22704.38,276.94,6134.85,10353.06,4345.81,1572.45,2141.99,1440.2,2400.6,852.2,3,211.5,0,0
"L6S68",3352.93,36167.2,54298.92,6167.51,47558.75,15380.86,2852.4,46577.05,16032.69,5,3251.48,58140.33,0,24032.7,16,23907.59,21905.97,584.44,6502.13,9903.52,4867.87,1775.7,2284.59,1498.25,1141.8,478.6,5,269,0,0
"L6S93",5047.2,47961.38,77614.56,8587.59,71592.5,21387.28,3901.07,81135.7,26957.57,0,4909.08,83113.93,0,38673.36,58,44479.16,28690.97,489.5,8084.47,17644.28,17153.47,5796.8,10444.25,8065.25,1134.6,616.2,0,75,0,0
